student_id,age,gender,place_of_origin,high_school_avg,admission_test_score,first_semester_grades,socioeconomic_level,has_scholarship,has_loan,dropout
1,23,Male,Cundinamarca,6.4,163.0,4.0,3.0,Yes,No,No
2,20,Male,Otros departamentos,4.3,161.0,1.5,4.0,Yes,Yes,Yes
3,21,Male,Bogotá,6.0,236.0,3.1,1.0,Yes,No,No
4,23,Female,Bogotá,8.8,161.0,1.9,5.0,Yes,Yes,No
5,19,Male,Bogotá,4.0,174.0,1.0,5.0,Yes,Yes,No
6,35,Male,Bogotá,6.0,392.0,2.0,1.0,Yes,Yes,Yes
7,21,Female,Bogotá,,271.0,4.9,5.0,Yes,Yes,No
8,21,Male,Bogotá,7.2,296.0,4.2,1.0,No,Yes,Yes
9,23,Female,Bogotá,9.5,204.0,4.8,4.0,Yes,No,No
10,18,Female,Cundinamarca,6.1,387.0,3.0,3.0,Yes,Yes,No
11,19,Male,Otros departamentos,6.1,322.0,1.4,1.0,Yes,Yes,Yes
12,23,Female,Bogotá,8.4,370.0,3.2,2.0,Yes,No,No
13,19,Male,Cundinamarca,2.3,268.0,2.8,1.0,No,No,No
14,19,Female,Cundinamarca,5.3,332.0,4.4,5.0,No,Yes,No
15,24,Female,Otros departamentos,6.7,437.0,1.4,4.0,No,No,Yes
16,21,Male,Bogotá,4.8,449.0,3.0,6.0,No,No,No
17,20,Female,Otros departamentos,5.1,231.0,1.6,4.0,No,Yes,No
18,24,Female,Bogotá,7.0,360.0,2.3,6.0,No,Yes,No
19,24,Female,Cundinamarca,6.5,299.0,3.9,1.0,No,No,No
20,19,Female,Cundinamarca,9.5,186.0,2.9,3.0,No,Yes,No
21,22,Female,Cundinamarca,6.2,208.0,2.5,2.0,No,Yes,No
22,21,Male,Cundinamarca,7.5,280.0,2.6,4.0,No,No,Yes
23,18,Female,Otros departamentos,7.8,351.0,2.8,5.0,No,Yes,Yes
24,24,Male,Bogotá,4.1,392.0,4.1,6.0,No,Yes,No
25,20,Female,Bogotá,,184.0,4.6,5.0,No,Yes,No
26,22,Male,Otros departamentos,10.8,242.0,4.8,3.0,No,Yes,Yes
27,22,Male,Bogotá,9.8,356.0,4.1,6.0,No,Yes,No
28,18,Female,Cundinamarca,4.9,362.0,2.3,4.0,No,No,Yes
29,24,Female,Bogotá,6.5,308.0,3.8,1.0,Yes,No,No
30,20,Female,Cundinamarca,4.5,173.0,2.8,5.0,No,Yes,No
31,21,Male,Otros departamentos,10.0,442.0,2.0,3.0,Yes,No,Yes
32,17,Female,Bogotá,7.0,153.0,4.4,4.0,No,Yes,No
33,20,Male,Otros departamentos,7.6,369.0,1.2,4.0,No,Yes,Yes
34,18,Male,Bogotá,4.4,169.0,4.6,4.0,Yes,Yes,Yes
35,22,Male,Cundinamarca,8.5,301.0,2.8,4.0,No,Yes,No
36,21,Female,Otros departamentos,5.3,199.0,3.5,6.0,Yes,Yes,No
37,20,Female,Bogotá,9.4,326.0,3.6,4.0,Yes,No,No
38,17,Male,Cundinamarca,5.2,245.0,4.6,5.0,Yes,No,No
39,17,Male,Otros departamentos,5.1,80.0,3.5,3.0,No,Yes,No
40,19,Female,Otros departamentos,4.2,399.0,3.5,6.0,No,No,No
41,19,Male,Bogotá,6.8,266.0,1.3,,No,Yes,No
42,23,Female,Bogotá,7.4,377.0,3.1,2.0,Yes,No,Yes
43,18,Male,Bogotá,4.4,215.0,1.6,,Yes,Yes,Yes
44,24,Female,Cundinamarca,8.7,411.0,3.9,3.0,No,No,No
45,20,Male,Bogotá,6.7,444.0,3.0,1.0,No,Yes,No
46,20,Female,Otros departamentos,7.1,392.0,0.5,1.0,No,Yes,Yes
47,24,Male,Otros departamentos,6.6,335.0,1.2,6.0,No,No,No
48,23,Female,Bogotá,,395.0,1.3,6.0,No,No,Yes
49,22,Female,Bogotá,7.4,274.0,3.9,6.0,Yes,Yes,No
50,22,Male,Otros departamentos,4.9,417.0,1.3,1.0,Yes,No,Yes
51,23,Male,Cundinamarca,5.1,280.0,1.3,0.0,Yes,Yes,Yes
52,22,Female,Bogotá,9.2,386.0,1.0,1.0,No,No,Yes
53,19,Male,Bogotá,9.7,167.0,4.8,5.0,Yes,No,No
54,20,Female,Otros departamentos,6.2,,4.0,4.0,Yes,Yes,No
55,23,Male,Bogotá,5.6,170.0,2.4,6.0,Yes,No,No
56,20,Female,Cundinamarca,7.9,374.0,2.2,2.0,Yes,No,Yes
57,24,Female,Otros departamentos,6.5,431.0,2.4,3.0,Yes,Yes,No
58,17,Female,Bogotá,4.2,157.0,4.1,3.0,No,No,No
59,19,Female,Otros departamentos,4.9,249.0,3.6,4.0,Yes,Yes,No
60,21,Female,Bogotá,8.3,389.0,1.7,2.0,No,Yes,Yes
61,19,Female,Bogotá,8.0,236.0,1.7,1.0,No,Yes,Yes
62,23,Male,Bogotá,4.2,447.0,1.4,1.0,No,Yes,Yes
63,21,Male,Cundinamarca,5.3,163.0,3.6,5.0,No,Yes,No
64,17,Male,Cundinamarca,5.4,151.0,4.1,5.0,No,No,No
